"KEY","C","F","H","Time"
"-M_v-05YzLhnOYQG67pE","32","89.599998","49","1621286070"
"-M_v-0S6Mq3ec9SiWhTs","32","89.599998","49","1621286072"
"-M_v-0ng8ekAWbiMrh9o","32","89.599998","49","1621286073"
"-M_v-1PMlh6SzZiO7bax","32","89.599998","49","1621286076"
"-M_v-21JEcDr6OU4NAZl","32","89.599998","49","1621286078"
"-M_v-2cq5EPvJ4Hl_HbK","32","89.599998","49","1621286081"
"-M_v-3ETh2vcWiuUftc0","32","89.599998","49","1621286083"
"-M_v-3fk1aPmrfr_UVpt","32","89.599998","49","1621286086"
"-M_v-42n9rLgVNJ-O9R-","32","89.599998","49","1621286087"
"-M_v-4PRZT-X6hJ8NVc-","32","89.599998","49","1621286089"
"-M_v-4kzQ9jZuD08SxC7","32","89.599998","49","1621286090"
"-M_v-56XKtjobF-dz0ze","32","89.599998","49","1621286092"
"-M_v-5TIgAlxMpc50NdU","32","89.599998","49","1621286093"
"-M_v-5ot_VzIlk3dwMfE","32","89.599998","49","1621286095"
"-M_v-6AQ8S_JSajuHX9Q","32","89.599998","49","1621286096"
"-M_v-6X0ypuD9nDfAG43","32","89.599998","49","1621286097"
"-M_v-6sa-6WVpWL-IJz0","32","89.599998","49","1621286099"
"-M_v-7E95vAAzRQzagsv","32","89.599998","49","1621286100"
"-M_v-7_iRVZX8rXsrZRZ","32","89.599998","49","1621286102"
"-M_v-7wPNtssIvuaesI1","32","89.599998","49","1621286103"
"-M_v-8I5P3caLEr2DRaq","32","89.599998","49","1621286105"
"-M_v-8dhKphQC3Ej4zxd","32","89.599998","49","1621286106"
"-M_v-9-HicXaQoxfd0Dk","32","89.599998","49","1621286108"
"-M_v-9LrVu-6mBGu1jyZ","32","89.599998","49","1621286109"
"-M_v-9hRjeHTTaEM6_EC","32","89.599998","49","1621286110"
"-M_v-A31yamhyAKuQjtn","32","89.599998","49","1621286112"
"-M_v-APeoqtE3jGitS9M","32","89.599998","49","1621286113"
"-M_v-AlFmAkQM2FtteGe","32","89.599998","49","1621286115"
"-M_v-B6qwTSNzFnP-H4_","32","89.599998","49","1621286116"
"-M_v-BTPpkvUeyxOvDS-","32","89.599998","49","1621286118"
"-M_v-BoyALClp_Q9vr3R","32","89.599998","49","1621286119"
"-M_v-CAW_xRhkbKfB1Xn","32","89.599998","49","1621286121"
"-M_v-CX5ExFsRLhIb1b5","32","89.599998","49","1621286122"
"-M_v-Csd6UXBYX47N6cH","32","89.599998","49","1621286124"
"-M_v-DEDnw6lkeMzr4TK","32","89.599998","49","1621286125"
"-M_v-D_lFF0B6UDawDzj","32","89.599998","49","1621286126"
"-M_v-DwLycBjN2duOv99","32","89.599998","49","1621286128"
"-M_v-EHvW_BnRY7v3Sq5","32","89.599998","49","1621286129"
"-M_v-EdR7-4PNqSic1sd","32","89.599998","49","1621286131"
"-M_v-F-3onkIZdWMARmr","32","89.599998","49","1621286132"
"-M_v-FLcrb2bhCMv6bqZ","32","89.599998","49","1621286134"
"-M_v-FhB_9mtHpAQv3i_","32","89.599998","49","1621286135"
"-M_v-G2kzR_DhR7crTn5","32","89.599998","49","1621286137"
"-M_v-GPI1flr9tpop-lX","32","89.599998","49","1621286138"
"-M_v-Gkrd1cS3cBAsoce","32","89.599998","49","1621286139"
"-M_v-H6SYFD_zCF0H6if","32","89.599998","49","1621286141"
"-M_v-HT-zgNzVZklYe_S","32","89.599998","49","1621286142"
"-M_v-HoZVh05Q16j8sHD","32","89.599998","49","1621286144"
"-M_v-IA7bcZvZ1QSL_B_","32","89.599998","49","1621286145"
"-M_v-IliugxHR4kphFyD","32","89.599998","49","1621286148"
"-M_v-JBf8IMR_mwMaUzQ","32","89.599998","49","1621286149"
"-M_v-JYG_mbEWD_JFI4m","32","89.599998","49","1621286150"
"-M_v-JtooDNgIJy1_lXp","32","89.599998","49","1621286152"
"-M_v-KFPD9P4lX06dMar","32","89.599998","49","1621286153"
"-M_v-Kb-BzPCRThQUHUN","32","89.599998","49","1621286155"
"-M_v-KxY7cRGmNU8yBNa","32","89.599998","49","1621286156"
"-M_v-LJ5LZwvfmZnLD7R","32","89.599998","49","1621286157"
"-M_v-Legk6Ugi_DBSHwx","32","89.599998","49","1621286159"
"-M_v-M0KjqbKX2lsvMRs","32","89.599998","49","1621286160"
"-M_v-MMsKNTbLAallhLb","32","89.599998","49","1621286162"
"-M_v-MiVhqIliZZY0Bkv","32","89.599998","49","1621286163"
"-M_v-N44GoLK4IhcbVKV","32","89.599998","49","1621286165"
"-M_v-NQdOhP_kSds5psb","32","89.599998","49","1621286166"
"-M_v-NmEMWNuIEMuhm-c","32","89.599998","49","1621286168"
"-M_v-O7nU9koCRgZpxxG","32","89.599998","49","1621286169"
"-M_v-OUMR3QpPjeKJo7E","32","89.599998","49","1621286170"
"-M_v-Oq0QiMI4uz-tRYz","32","89.599998","49","1621286172"
